Date,Description,Amount,Balance,Type,Source,Notes
2024-02-01,Apple.Com/Bill 866-712-7753 CA,-19.99,,Debit,022924 WellsFargo.pdf,
2024-02-01,Doordash Dashpass WWW.Doordash. CA,-9.99,,Debit,022924 WellsFargo.pdf,
2024-02-01,Ipic* Pasadena WWW.Ipic.Com FL,-51.00,,Debit,022924 WellsFargo.pdf,
2024-02-01,Pwp Chatgpt Sub Privacycom,-20.00,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE - AUTOMATIQUE
2024-02-01,Pwp Heroku* Dec Privacycom,-39.28,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE - AUTOMATIQUE
2024-02-01,Mortgage Serv CT Mtg Paymt K4Braget,-4353.67,219818.13,Debit,022924 WellsFargo.pdf,
2024-02-02,President Thai Pasadena CA,-70.73,,Debit,022924 WellsFargo.pdf,
2024-02-02,Wholefds Bbk#10545 Burbank CA,-56.02,,Debit,022924 WellsFargo.pdf,
2024-02-02,Bkghotel at Bookin NY,-585.30,,Debit,022924 WellsFargo.pdf,
2024-02-02,Google*Gsuite Fake CC Google.Com CA,-100.80,,Debit,022924 WellsFargo.pdf,POPSTAND - Google Workspace
2024-02-02,Laz Parking 670600 Pasadena CA,-10.00,,Debit,022924 WellsFargo.pdf,
2024-02-02,Pwp Google *Gsu Privacycom,-5.57,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE
2024-02-02,Pwp Ecm A Lega Privacycom,-29.00,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE - AUTOMATIQUE (LegalZoom)
2024-02-02,Pwp Amzn Mktp U Privacycom,-35.38,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE
2024-02-02,Pwp Amazon.Com* Privacycom,-42.89,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE
2024-02-02,Pwp Quicknode Privacycom,-49.00,,Debit,022924 WellsFargo.pdf,Privacy.com - DUPLICATE - AUTOMATIQUE
