Date,Description,Type,Amount,Balance,Source,Notes
2025-01-02,Google Workspace,Card,-24.00,,automatique-inc-7968-monthly-statement-2025-01.pdf,Business email/docs
2025-01-02,Google Cloud,Card,-0.54,18718.05,automatique-inc-7968-monthly-statement-2025-01.pdf,Cloud services
2025-01-03,Slack,Card,-24.79,18693.26,automatique-inc-7968-monthly-statement-2025-01.pdf,Team communication
2025-01-09,OpenAI,Card,-200.00,18493.26,automatique-inc-7968-monthly-statement-2025-01.pdf,AI subscription
2025-01-10,Bitrise Limited,Card,-210.00,18283.26,automatique-inc-7968-monthly-statement-2025-01.pdf,CI/CD platform
2025-01-13,Notion,Card,-44.00,18239.26,automatique-inc-7968-monthly-statement-2025-01.pdf,Productivity software
2025-01-19,Slack,Card,-17.50,18221.76,automatique-inc-7968-monthly-statement-2025-01.pdf,Team communication
2025-01-25,Heroku,Card,-118.48,18103.28,automatique-inc-7968-monthly-statement-2025-01.pdf,Cloud hosting
2025-01-27,Whimsical,Card,-12.00,18091.28,automatique-inc-7968-monthly-statement-2025-01.pdf,Design tool
2025-02-02,Google Workspace,Card,-24.00,,automatique-inc-7968-monthly-statement-2025-02.pdf,Business email/docs
2025-02-02,Google Cloud,Card,-0.54,18066.74,automatique-inc-7968-monthly-statement-2025-02.pdf,Cloud services
2025-02-04,Cursor,Card,-20.00,18046.74,automatique-inc-7968-monthly-statement-2025-02.pdf,AI code editor
2025-02-06,Lemon Squeezy,Card,-29.00,18017.74,automatique-inc-7968-monthly-statement-2025-02.pdf,Payment platform
2025-02-09,Meshy,Card,-20.00,17997.74,automatique-inc-7968-monthly-statement-2025-02.pdf,AI 3D tool
2025-02-10,Bitrise Limited,Card,-210.00,17787.74,automatique-inc-7968-monthly-statement-2025-02.pdf,CI/CD platform
2025-02-11,Heroku,Card,-111.75,17675.99,automatique-inc-7968-monthly-statement-2025-02.pdf,Cloud hosting
2025-02-13,Notion,Card,-44.00,17631.99,automatique-inc-7968-monthly-statement-2025-02.pdf,Productivity software
2025-02-16,Slack,Card,-26.81,,automatique-inc-7968-monthly-statement-2025-02.pdf,Team communication
2025-02-16,OpenAI,Card,-200.00,17405.18,automatique-inc-7968-monthly-statement-2025-02.pdf,AI subscription
2025-02-21,Cursor,Card,-20.00,17385.18,automatique-inc-7968-monthly-statement-2025-02.pdf,AI code editor
2025-02-22,Twitter,Card,-40.00,17345.18,automatique-inc-7968-monthly-statement-2025-02.pdf,Social media/ads
2025-02-25,Anthropic,Card,-20.00,17325.18,automatique-inc-7968-monthly-statement-2025-02.pdf,AI subscription
2025-02-26,Cursor,Card,-20.00,17305.18,automatique-inc-7968-monthly-statement-2025-02.pdf,AI code editor
2025-02-27,Anthropic,Card,-100.00,,automatique-inc-7968-monthly-statement-2025-02.pdf,AI subscription
2025-02-27,Whimsical,Card,-12.00,,automatique-inc-7968-monthly-statement-2025-02.pdf,Design tool
2025-02-27,SUO TECH INC,Payment Request,10000.00,27193.18,automatique-inc-7968-monthly-statement-2025-02.pdf,Client revenue
2025-02-28,Anthropic,Card,-100.00,,automatique-inc-7968-monthly-statement-2025-02.pdf,AI subscription
2025-02-28,OpenRouter,Card,-25.00,27068.18,automatique-inc-7968-monthly-statement-2025-02.pdf,AI routing service
2025-03-02,GoDaddy,Card,-151.99,,automatique-inc-7968-monthly-statement-2025-03.pdf,Domain registration
2025-03-02,Google Cloud,Card,-0.50,,automatique-inc-7968-monthly-statement-2025-03.pdf,Cloud services
2025-03-02,Google Workspace,Card,-24.00,26891.69,automatique-inc-7968-monthly-statement-2025-03.pdf,Business email/docs
2025-03-04,Cursor,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-03.pdf,AI code editor
2025-03-04,Midjourney,Card,-30.00,,automatique-inc-7968-monthly-statement-2025-03.pdf,AI image generation
2025-03-04,Cursor,Card,-4.84,,automatique-inc-7968-monthly-statement-2025-03.pdf,AI code editor
2025-03-04,SUO TECH INC,Payment Request,5000.00,,automatique-inc-7968-monthly-statement-2025-03.pdf,Client revenue
2025-03-04,Runway,Card,-15.00,31821.85,automatique-inc-7968-monthly-statement-2025-03.pdf,AI video tool
2025-03-07,GUSTO,ACH In,0.01,31821.86,automatique-inc-7968-monthly-statement-2025-03.pdf,Payroll verification
2025-03-09,Anthropic,Card,-250.00,31571.86,automatique-inc-7968-monthly-statement-2025-03.pdf,AI subscription
2025-03-10,Bitrise Limited,Card,-210.00,31361.86,automatique-inc-7968-monthly-statement-2025-03.pdf,CI/CD platform
2025-03-11,Heroku,Card,-91.00,31270.86,automatique-inc-7968-monthly-statement-2025-03.pdf,Cloud hosting
2025-03-13,Notion,Card,-44.00,,automatique-inc-7968-monthly-statement-2025-03.pdf,Productivity software
2025-03-13,GitHub,Card,-4.00,,automatique-inc-7968-monthly-statement-2025-03.pdf,Code hosting
2025-03-13,GitHub,Card,-20.00,31202.86,automatique-inc-7968-monthly-statement-2025-03.pdf,Code hosting
2025-03-14,SUO TECH INC,Payment Request,7000.00,38202.86,automatique-inc-7968-monthly-statement-2025-03.pdf,Client revenue
2025-03-15,Slack,Card,-12.81,38190.05,automatique-inc-7968-monthly-statement-2025-03.pdf,Team communication
2025-03-16,OpenAI,Card,-200.00,37990.05,automatique-inc-7968-monthly-statement-2025-03.pdf,AI subscription
2025-03-17,Framer,Card,-40.00,37950.05,automatique-inc-7968-monthly-statement-2025-03.pdf,Design tool
2025-03-19,Anthropic,Card,-250.00,37700.05,automatique-inc-7968-monthly-statement-2025-03.pdf,AI subscription
2025-03-21,GoDaddy,Card,-15.51,37684.54,automatique-inc-7968-monthly-statement-2025-03.pdf,Domain registration
2025-03-22,Twitter,Card,-40.00,37644.54,automatique-inc-7968-monthly-statement-2025-03.pdf,Social media/ads
2025-03-25,ElevenLabs,Card,-11.00,37633.54,automatique-inc-7968-monthly-statement-2025-03.pdf,AI voice synthesis
2025-03-27,Whimsical,Card,-12.00,37621.54,automatique-inc-7968-monthly-statement-2025-03.pdf,Design tool
2025-03-28,Codeium,Card,-15.00,37606.54,automatique-inc-7968-monthly-statement-2025-03.pdf,AI code completion
2025-03-29,Cursor,Card,-20.04,37586.50,automatique-inc-7968-monthly-statement-2025-03.pdf,AI code editor
2025-03-30,Cursor,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-03.pdf,AI code editor
2025-03-30,Suno,Card,-10.00,37556.50,automatique-inc-7968-monthly-statement-2025-03.pdf,AI music generation
2025-03-31,Wispr,Card,-15.00,37541.50,automatique-inc-7968-monthly-statement-2025-03.pdf,AI voice tool
2025-04-02,Google Workspace,Card,-27.35,,automatique-inc-7968-monthly-statement-2025-04.pdf,Business email/docs
2025-04-02,Google Cloud,Card,-0.54,37513.61,automatique-inc-7968-monthly-statement-2025-04.pdf,Cloud services
2025-04-03,Cursor,Card,-20.00,37493.61,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-04,Cursor,Card,-20.00,37473.61,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-05,OpenAI,Card,-20.00,37453.61,automatique-inc-7968-monthly-statement-2025-04.pdf,AI subscription
2025-04-06,Cursor,Card,-6.00,37447.61,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-08,Heroku,Card,-2.44,,automatique-inc-7968-monthly-statement-2025-04.pdf,Cloud hosting
2025-04-08,Heroku,Card,-91.00,,automatique-inc-7968-monthly-statement-2025-04.pdf,Cloud hosting
2025-04-08,Heroku,Card,-10.56,,automatique-inc-7968-monthly-statement-2025-04.pdf,Cloud hosting
2025-04-08,LastPass,Card,-36.00,37307.61,automatique-inc-7968-monthly-statement-2025-04.pdf,Password manager
2025-04-09,GitHub,Card,-0.65,37306.96,automatique-inc-7968-monthly-statement-2025-04.pdf,Code hosting
2025-04-10,Bitrise Limited,Card,-210.00,37096.96,automatique-inc-7968-monthly-statement-2025-04.pdf,CI/CD platform
2025-04-11,Cursor,Card,-20.00,37076.96,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-13,Notion,Card,-44.00,37032.96,automatique-inc-7968-monthly-statement-2025-04.pdf,Productivity software
2025-04-14,GitHub,Card,-4.00,,automatique-inc-7968-monthly-statement-2025-04.pdf,Code hosting
2025-04-14,GitHub,Card,-24.00,37004.96,automatique-inc-7968-monthly-statement-2025-04.pdf,Code hosting
2025-04-15,Cursor,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-15,Slack,Card,-17.50,36967.46,automatique-inc-7968-monthly-statement-2025-04.pdf,Team communication
2025-04-16,Cursor,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-16,OpenAI,Card,-200.00,36747.46,automatique-inc-7968-monthly-statement-2025-04.pdf,AI subscription
2025-04-17,Cursor,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-17,SUO TECH INC,Payment Request,8000.00,44727.46,automatique-inc-7968-monthly-statement-2025-04.pdf,Client revenue
2025-04-18,Cursor,Card,-20.00,44707.46,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-21,Midjourney,Card,-10.00,44697.46,automatique-inc-7968-monthly-statement-2025-04.pdf,AI image generation
2025-04-22,Twitter,Card,-40.00,,automatique-inc-7968-monthly-statement-2025-04.pdf,Social media/ads
2025-04-22,Cursor,Card,-20.00,44637.46,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-27,GoDaddy,Card,-49.99,44587.47,automatique-inc-7968-monthly-statement-2025-04.pdf,Domain registration
2025-04-28,Codeium,Card,-15.00,44572.47,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code completion
2025-04-29,Cursor,Card,-20.00,44552.47,automatique-inc-7968-monthly-statement-2025-04.pdf,AI code editor
2025-04-30,Suno,Card,-10.00,44542.47,automatique-inc-7968-monthly-statement-2025-04.pdf,AI music generation
2025-05-01,Wispr,Card,-15.00,44527.47,automatique-inc-7968-monthly-statement-2025-05.pdf,AI voice tool
2025-05-02,Google Workspace,Card,-38.88,44488.59,automatique-inc-7968-monthly-statement-2025-05.pdf,Business email/docs
2025-05-05,Adobe,Card,-22.99,44465.60,automatique-inc-7968-monthly-statement-2025-05.pdf,Creative software
2025-05-06,Framer,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-05.pdf,Design tool
2025-05-06,Framer,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-05.pdf,Design tool
2025-05-06,Cursor,Card,-20.00,,automatique-inc-7968-monthly-statement-2025-05.pdf,AI code editor
