Date,Description,Amount,Balance,Type,Source,Notes
2025-01-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-02-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-03-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-04-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-05-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-06-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-07-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-08-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-09-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-10-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-11-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2025-12-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2025-01-01 - 2025-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
