Date,Description,Amount,Balance,Type,Source,Notes
2023-03-01,Pasadena Parking,-3.00,,Debit,033123 WellsFargo.pdf,Parking
2023-03-01,Pasadena Parking,-3.00,,Debit,033123 WellsFargo.pdf,Parking
2023-03-01,Audible*Hd3Uk7A72,-14.95,,Debit,033123 WellsFargo.pdf,Entertainment - Audible
2023-03-01,DD Doordash Bluebo,-18.78,,Debit,033123 WellsFargo.pdf,Food - Delivery
2023-03-01,Tesla Inc Supercha,-13.44,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-01,Tesla Inc Supercha,-17.22,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-01,Wholefds Cma #1047,-73.30,,Debit,033123 WellsFargo.pdf,Groceries - Whole Foods
2023-03-01,Macy's 451 2410 E CA,-244.35,,Debit,033123 WellsFargo.pdf,Shopping - Macy's
2023-03-01,Chase Credit Crd Epay,-4270.99,,Debit,033123 WellsFargo.pdf,Credit Card Payment
2023-03-01,Mortgage Serv CT Mtg Paymt,-4353.67,327031.19,Debit,033123 WellsFargo.pdf,Mortgage Payment
2023-03-02,Apple.Com/Bill,-74.99,,Debit,033123 WellsFargo.pdf,Apple Services
2023-03-02,Nordstrom Rack #03,-59.70,,Debit,033123 WellsFargo.pdf,Shopping - Clothing
2023-03-02,Wholefds Cma #1047,-17.48,,Debit,033123 WellsFargo.pdf,Groceries - Whole Foods
2023-03-02,Tesla Inc Supercha,-3.48,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-02,Non-WF ATM Withdrawal,-502.00,,Debit,033123 WellsFargo.pdf,Cash Withdrawal
2023-03-02,Non-Wells Fargo ATM Transaction Fee,-2.50,,Debit,033123 WellsFargo.pdf,Bank Fee - ATM
2023-03-02,Pwp Github,-10.00,326361.04,Debit,033123 WellsFargo.pdf,Privacy.com - DUPLICATE - Dev Tools
2023-03-03,Wholefds Cma #1047,-11.17,,Debit,033123 WellsFargo.pdf,Groceries - Whole Foods
2023-03-03,Sq *Provision 7T,-29.35,,Debit,033123 WellsFargo.pdf,Food
2023-03-03,Tesla Inc Supercha,-18.45,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-03,Tesla Inc Supercha,-1.64,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-03,Tesla Inc Supercha,-13.02,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-03,Zelle to Ed,-500.00,,Debit,033123 WellsFargo.pdf,Zelle - Kitchen Demo
2023-03-03,Pwp Amzn Mktp U,-72.91,325714.50,Debit,033123 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-03-06,Uber Eats,-47.90,,Debit,033123 WellsFargo.pdf,Food - Delivery
2023-03-06,DD Doordash Bluebo,-17.78,,Debit,033123 WellsFargo.pdf,Food - Delivery
2023-03-06,Tesla Inc Supercha,-13.94,,Debit,033123 WellsFargo.pdf,Auto - Tesla Supercharger
2023-03-06,Pasadena Parking,-3.00,,Debit,033123 WellsFargo.pdf,Parking
2023-03-06,Apple.Com/Bill,-23.98,,Debit,033123 WellsFargo.pdf,Apple Services
2023-03-06,Sq *Salt & Straw,-27.50,,Debit,033123 WellsFargo.pdf,Food - Ice Cream
2023-03-06,Uber Eats,-59.54,,Debit,033123 WellsFargo.pdf,Food - Delivery
2023-03-06,Laz Parking 670600,-10.00,,Debit,033123 WellsFargo.pdf,Parking
2023-03-06,Apple.Com/Bill,-74.99,,Debit,033123 WellsFargo.pdf,Apple Services
2023-03-06,DD Doordash Bluebo,-31.56,,Debit,033123 WellsFargo.pdf,Food - Delivery
2023-03-06,Apple.Com/Bill,-15.98,,Debit,033123 WellsFargo.pdf,Apple Services
2023-03-06,1-Up Factory,-87.60,,Debit,033123 WellsFargo.pdf,Entertainment
2023-03-06,Pwp Quicknode A,-49.00,,Debit,033123 WellsFargo.pdf,Privacy.com - DUPLICATE - Blockchain API
