Date,Description,Amount,Balance,Type,Category,Source,Notes
2022-06-01,Pwp Amazon Tips Privacycom,-7.0,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-01,Pwp Amazon Tips Privacycom,-10.0,206095.60,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-02,Pwp Amzn Mktp U Privacycom,-32.16,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-02,Business to Business ACH Debit - Lowes Brc CC Lowtelpay,-427.51,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-02,Mortgage Serv CT Mtg Paymt 060122,-5000.0,200635.93,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-03,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.0,,Credit,,2022-06_wells-fargo_checking.csv,
2022-06-03,Wire Trans Svc Charge,-15.0,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-03,Purchase - Uber Eats Help.Uber.Com CA,-134.99,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-03,Pwp Chainstack Privacycom,-49.0,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-03,Pwp Amazon.Com* Privacycom,-124.82,203312.12,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-06,Purchase - Apple.Com/Bill 408-974-1010 CA,-17.98,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-06,Purchase - Uber Eats Help.Uber.Com CA,-102.5,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-06,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,-74.99,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-06,Purchase - Wholefds Val 10178 Santa Clarita CA,-36.46,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-06,Purchase - Tst* Kabuki - Vale Valencia CA,-40.94,,Debit,,2022-06_wells-fargo_checking.csv,
2022-06-06,Pwp Amazon Tips Privacycom,-7.0,,Debit,,2022-06_wells-fargo_checking.csv,
