Date,Description,Amount,Balance,Type,Category,Source,Notes
2022-10-03,WT Fed - Jpmorgan Chase Ban - Popstand Inc,2500.0,,Credit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Wire Trans Svc Charge,-15.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Pasadena Parking - Pasadena CA,-12.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Pasadena Parking - Pasadena CA,-12.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Starbucks Store 00 San Marino CA,-17.5,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Tst* Sushi Roku - Pasadena CA,-130.25,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Apple.Com/Bill 800-275-2273 CA,-78.97,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Sp Allbirds 188-89638944 CA,-16.54,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Woo Hyang Woo Los Angeles CA,-94.54,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Starbucks Store 54 Los Angeles CA,-5.5,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Erewhon Calabasas Calabasas CA,-70.55,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Zelle to Ed,-400.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Purchase - Tesla Inc Supercha 877-7983752 CA,-18.33,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Non-WF ATM Withdrawal - 177 E Colordo Bv Pasadna CA,-203.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Non-Wells Fargo ATM Transaction Fee,-2.5,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Pwp Github Privacycom,-10.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Mortgage Serv CT Mtg Paymt 100122,-5000.0,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-03,Check #1001,-3210.0,264104.90,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-04,Purchase - Erewhon Market Stuido City CA,-23.03,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-04,Purchase - Apple Store #R034 Pasadena CA,-693.47,,Debit,,2022-10_wells-fargo_checking.csv,
2022-10-04,Purchase - Tst* Intelligentsi Pasadena CA,-3.31,,Debit,,2022-10_wells-fargo_checking.csv,
