Date,Description,Amount,Balance,Type,Category,Source,Notes
2022-04-01,Purchase - Uber Trip Help.Uber.Com CA,-46.84,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-01,Zelle to Juan,-60.0,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-01,Pwp Amzn Mktp U Privacycom,-34.3,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-01,Pwp Amzn Mktp U Privacycom,-42.2,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-01,Pwp Amzn Mktp U Privacycom,-1767.46,234958.37,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.0,,Credit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Wire Trans Svc Charge,-15.0,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Purchase - Pymnts Dapper Online Gbr,-12.94,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Purchase - Wholefds Val 10178 Santa Clarita CA,-170.33,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Purchase - Remitly* Abb7 WWW.Remitly.C WA,-190.99,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Purchase - Uber Trip Help.Uber.Com CA,-34.64,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Purchase - Wholefds Val 10178 Santa Clarita CA,-21.98,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Pwp Amazon Tips Privacycom,-7.0,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Pwp Chainstack Privacycom,-49.0,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Pwp Slack T0265 Privacycom,-60.01,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Pwp Amazon.Com* Privacycom,-76.57,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Pwp Amzn Mktp U Privacycom,-213.43,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Mortgage Serv CT Mtg Paymt 040122,-4479.2,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-04,Pwp Amzn Mktp U Privacycom,-128.68,232498.60,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-88.97,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-34.98,,Debit,,2022-04_wells-fargo_checking.csv,
2022-04-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,,Debit,,2022-04_wells-fargo_checking.csv,
