Date,Description,Amount,Balance,Type,Category,Source,Notes
2022-01-24,Purchase authorized on 01/22 Ikea.Com 404755662 888-434-4532 MD S302023249720093 Card 6470,-312.40,,Debit,,013122 WellsFargo.pdf,
2022-01-28,Purchase authorized on 01/27 Ikea Burbank Burbank CA P382028187241703 Card 6470,-136.59,,Debit,,013122 WellsFargo.pdf,
2022-02-04,Purchase authorized on 02/03 Ikea.Com 405593931 888-434-4532 MD S302035096386682 Card 6470,-108.86,,Debit,,022822 WellsFargo.pdf,
2022-02-14,Purchase authorized on 02/11 Ikea Burbank Burbank CA P382043184387619 Card 6470,-30.86,,Debit,,022822 WellsFargo.pdf,
2022-04-15,Purchase authorized on 04/14 Ikea Burbank Burbank CA P302105134663766 Card 6470,-363.79,,Debit,,043022 WellsFargo.pdf,
2022-05-03,Purchase authorized on 05/02 Ikea Burbank Burbank CA P382123157712118 Card 6470,-1725.35,,Debit,,053122 WellsFargo.pdf,
2022-08-22,Purchase authorized on 08/21 Ikea Burbank Rest Burbank CA P382234020381747 Card 6470,-4.69,,Debit,,083122 WellsFargo.pdf,
2022-08-22,Purchase authorized on 08/21 Ikea Burbank Burbank CA P302234029955069 Card 6470,-1046.26,,Debit,,083122 WellsFargo.pdf,
2022-09-12,Purchase authorized on 09/09 Ikea Burbank Burbank CA P462253138703940 Card 6470,-936.02,,Debit,,093022 WellsFargo.pdf,
2022-09-16,Purchase authorized on 09/16 Ikea Burbank Burbank CA P382259727941519 Card 6470,-424.35,,Debit,,093022 WellsFargo.pdf,
