Date,Description,Amount,Balance,Type,Category,Source,Notes
2023-01-01,Pwp QUICKNODE API,-49.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 5262
2023-01-03,Pwp Amazon.com*PF3GH3F63,-65.51,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-04,Pwp Amazon Tips*134X89AE3,-5.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-07,Pwp DNH*GODADDY.COM,-37.99,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 1035
2023-01-08,Pwp Netflix.com,-15.49,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 5017
2023-01-09,Pwp HEROKU DEC-77230759,-254.10,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0800
2023-01-09,Pwp HEROKU DEC-77296150,-97.10,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0800
2023-01-09,Pwp AMZN Mktp US*1U0Y28QB3,-91.15,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-11,Pwp Amazon.com*O47H305K3,-186.35,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-12,Pwp Amazon Tips*U38AU79Q3,-10.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-15,Pwp DNH*GODADDY.COM,-20.17,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 1035
2023-01-16,Pwp Blink,-10.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-17,Pwp DNH*GODADDY.COM,-11.99,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 1035
2023-01-20,Pwp DNH*GODADDY.COM,-40.34,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 1035
2023-01-21,Pwp DNH*GODADDY.COM,-37.99,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 1035
2023-01-23,Pwp QUICKNODE API,-49.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 5262
2023-01-23,Pwp Amazon.com*WB5LF1LX3,-63.64,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-24,Pwp AMZN Mktp US*AJ1Q864D3,-6.38,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-24,Pwp AMZN Mktp US*RP2ZR7963,-48.01,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-25,Pwp AMAZON.COM*AV1KV9X53 AMZN,-93.06,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-25,Pwp AMAZON.COM*LI3LM5IL3 AMZN,-21.44,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-25,Pwp Amazon Tips*WZ4QN5M73,-5.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-25,Pwp AMZN Mktp US*F18KL40B3,-11.32,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-25,Pwp Amazon.com*2R5GE5JI3,-79.41,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-25,Pwp AMZN MKTP US*5D2DA2YM3 AM,-75.06,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
2023-01-26,Pwp Amazon Tips*TG7RF67B3,-5.00,,Debit,,privacy-com-statement-2023.csv,Privacy.com card ending 0062
